指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年
糖料播种面积(千公顷),1453.48,1458.1,1568.48,1610.47,1622.94,1545.65,1555.25,1572.63,1737.1,1844.42,1886.58,1834.49,1809.19,1804.49,1926.2,1756.3,1566.96,1564.39,1568.07,1657.42,1817.53,1654.23,1514.16,1643.8,1984.34,1923.05,1845.81,1819.9,1754.8,1686.53,1905.8,1947.2,1679.13
甘蔗播种面积(千公顷),1289.17,1316.07,1353.38,1390.73,1405.84,1371.36,1401.65,1476.18,1638.16,1704.1,1695.57,1643.75,1623.72,1643.01,1708.63,1531.13,1378.17,1354.35,1378.08,1409.42,1393.47,1248.04,1184.88,1302.84,1401.15,1311.49,1207.48,1125.3,1056.5,1087.8,1245.8,1163.73,1008.8
甜菜播种面积(千公顷),162.85,141.1,212.83,218.94,216.13,174.29,153.6,96.45,98.95,140.32,191.01,190.74,185.47,161.48,217.58,225.18,188.79,210.03,189.99,248.01,424.05,406.19,329.29,340.98,583.17,611.56,638.33,694.6,698.4,598.7,660,783.47,670.33
烟叶播种面积(千公顷),1043.56,1012.92,1013.86,1026.55,1057.86,1130.6,1208.42,1254.4,1397.65,1551.65,1544.16,1417.53,1309.18,1328.62,1301.53,1179.8,1188.76,1362.88,1265.63,1264.41,1327.63,1339.62,1437.25,1373.71,1361.11,2352.7,1853.19,1470,1489.8,2088.9,2092.9,1804.07,1592.6
烤烟播种面积(千公顷),1000.52,968.77,967.02,971.94,1003.25,1080.93,1152.89,1197.17,1330.15,1472.44,1446.14,1324.75,1208.94,1222.54,1218.89,1094.31,1088.16,1244.87,1145.12,1139.39,1191.65,1180.56,1269.18,1216.29,1200.29,2160.78,1683.37,1308.6,1301.7,1835.4,1849.3,1562.13,1342.13
蔬菜播种面积(千公顷),22434.06,21985.71,21485.48,20862.74,20438.94,19981.07,19553.14,19613.06,19224.12,18836.25,18496.86,17909.87,17431.22,17817.61,17859.32,17556.55,16639.14,17720.71,17560.42,17953.76,17352.93,16402.45,15237.27,13346.85,12293,11288,10491,9514.7,8921,8084,7031,6546,6338.33
药材播种面积(千公顷),,,,,2392.43,2161.07,1932.44,1860.96,1758.89,1648.41,1519,1382.49,1262.32,1210.06,1234.96,1158.66,831.21,1213.27,1284.72,1248.16,963.91,827.29,675.64,482.51,371.98,307.9,254.8,278.72,312.1,364,254,169.47,153.13
其他农作物播种面积(千公顷),,,,,4951.32,4935.24,4897.01,4228.19,3816.27,4075.73,4236.14,4560.49,4692.62,4634.58,4869.93,5439.36,6882.61,7426.08,7665.21,8089.05,7639.77,7372.9,7351.52,6764.47,6696.94,6683.4,6558.4,6735.48,7117.5,7338.47,7454.5,7520.8,7429.33
青饲料播种面积(千公顷),,,,,1970.69,1874.14,1813.48,1633.49,1583.72,1617.41,1638.87,1827.63,1767.45,1676.06,1766.4,2127.71,2897.52,3376.49,3349.17,3547.98,3013.52,2590.32,2141.77,1848.66,1861.94,1817.9,1806.5,1824.88,1881.46,1814.9,1786.8,1836.93,1862.2
粮食产量(万吨),68652.77,68284.75,66949.15,66384.34,65789.22,66160.73,66043.51,66060.27,63964.83,63048.2,61222.62,58849.33,55911.31,53940.86,53434.29,50413.85,49804.23,48402.19,46946.95,43069.53,45705.75,45263.67,46217.52,50838.58,51229.53,49417.1,50453.5,46661.8,44510.1,45648.8,44265.8,43529.3,44624.3
夏收粮食产量(万吨),14740,14596,14286,14160,13881.02,14174.46,14050.16,14074.94,13587.52,13112.33,12939.98,12529.47,12203.61,12175.18,11993.11,11633.72,11655.96,10639.86,10114.13,9637.61,9861.33,10173.4,10679.27,11850.25,11322.44,12768.19,11427.32,10692.7,10430.3,10841.9,10327.6,9840.5,10012.9
秋粮产量(万吨),51100,50888,49934,49597,49049.18,48999.1,48890.78,48778.09,47134.25,46660.07,45052.75,43130.1,40617.59,38472.42,38322.15,35638.37,35008.49,34575.08,33611.17,30483.67,32815.45,31690,31786.35,34891.67,35854.8,32071.29,34627.98,31747.1,29993.6,30691.8,29289.5,29063.9,29553.9
谷物产量(万吨),63324.34,63275.69,61674.28,61369.73,61003.58,61520.54,61666.53,61818.41,59601.54,58650.35,56659.03,54061.73,51196.75,49243.35,48569.44,45962.96,45099.24,42776.01,41157.21,37428.73,39798.66,39648.21,40522.36,45304.06,45624.72,44349.31,45127.14,41611.6,39389.1,40517.4,40169.6,39566.3,
稻谷产量(万吨),20849.48,21284.24,21185.96,20961.4,21212.9,21267.59,21109.42,21214.19,20960.91,20628.56,20653.23,20288.25,19722.57,19619.67,19261.22,18638.11,18171.83,18058.84,17908.76,16065.56,17453.85,17758.03,18790.77,19848.73,19871.3,20073.48,19510.27,18522.6,17593.3,17751.4,18622.2,18381.3,18933.14
早稻产量(万吨),2812,2802,2729,2627,2859.02,2987.16,3102.57,3207.25,3243.05,3275.81,3229.89,3189.76,3090.1,3293.26,3119.03,3141.76,3139.78,3187.25,3221.65,2948.25,3028.97,3400.27,3751.9,4096.66,4052.3,4577.62,4398.2,4222,4086.2,4115.1,4648.7,4624.9,5057.5
中稻和一季晚稻产量(万吨),,,,,15212.37,14957.28,14638.86,14475.73,14142.34,13879.09,13828.23,13612.62,13069.66,12774.48,12677.49,12056.15,11593.49,11410.12,11391.22,9926.74,10900.73,10403.81,10906.41,10939.7,10955.37,10502.26,9969.97,9169.68,8805.42,8641.03,9096.8,8665.9,8884.1
双季晚稻产量(万吨),,,,,3141.52,3323.15,3367.99,3531.22,3575.52,3473.67,3595.11,3485.87,3562.81,3551.93,3464.7,3440.19,3438.57,3461.47,3295.89,3190.57,3524.15,3953.95,4132.46,4812.37,4863.64,4993.6,5142.1,5130.92,4701.68,4995.27,4876.7,5090.5,4991.6
小麦产量(万吨),13772.34,13694.45,13425.38,13359.63,13144.05,13424.13,13318.83,13255.52,12823.52,12363.93,12247.49,11856.95,11609.34,11579.61,11290.13,10949.15,10846.59,9744.51,9195.18,8648.85,9029,9387.34,9963.58,11387.96,10972.61,12328.85,11056.91,10220.7,9929.7,10639,10158.7,9595.3,9822.9
冬小麦产量(万吨),,,,,12500.52,12794.09,12660.84,12624.8,12230.99,11763.68,11629.1,11230.45,10975.76,10843.27,10707.89,10401.92,10225.84,9141.2,8620.96,8220.27,8442.99,9387.34,9220.51,10262.7,9779.57,11083.45,9794.71,9168.9,8916.02,9374.6,8840.2,8368,8522.4
春小麦产量(万吨),,,,,643.53,630.04,657.99,630.71,592.54,600.25,618.39,626.5,633.58,736.34,582.24,547.23,620.75,603.31,574.22,428.58,586.01,,743.07,1125.26,1193.04,1245.4,1262.2,1051.9,1013.68,1264.4,1318.5,1227.3,1300.6
玉米产量(万吨),27720.3,27255.06,26066.52,26077.89,25717.39,25907.07,26361.31,26499.22,24976.44,24845.32,22955.9,21131.6,19075.18,17325.86,17211.95,15512.25,15160.3,13936.54,13028.71,11583.02,12130.76,11408.77,10599.98,12808.63,13295.4,10430.87,12747.1,11198.6,9927.5,10270.4,9538.3,9877.3,9681.9
谷子产量(万吨),,,,,234.18,254.79,233.02,211.95,197.24,177.64,177.47,173.73,161.88,125.55,124.73,152.13,163.94,178.35,181.26,194.07,217.56,196.69,212.52,231.78,312.02,231.2,357.3,301.9,369.6,399.9,331.7,342.4,457.5
高粱产量(万吨),,,,,290.94,246.49,223.45,220.25,249.98,242.95,198.96,189.16,193.31,150.34,174.88,174.91,218.19,254.64,232.72,286.19,332.69,269.66,258.24,324.14,408.57,363.82,567.49,475.6,633.3,551.1,467.1,494.3,567.6
其他谷物产量(万吨),,,,,404.11,420.47,420.49,417.28,393.44,391.95,425.97,422.03,434.48,442.32,506.54,536.41,538.39,603.14,610.58,650.99,634.81,627.72,697.27,702.82,764.76,921.07,888.2,,,,,,
大麦产量(万吨),,,,,95.65,108.52,119.24,141.14,146.14,153.52,168.46,190.37,195.17,221.03,260.77,278.04,312.96,344.41,322.18,324.95,332.2,,,,,,,,,,,,
