指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年
就业人员(万人),73351,74652,75064,75447,75782,76058,76245,76320,76349,76301,76254,76196,76105,75828,75564,75321,74978,74647,74264,73736,73280,72797,72085,71394,70637,69820,68950,68065,67455,66808,66152,65491,64749
城镇就业人员(万人),45931,46773,46271,45249,44292,43208,42051,40916,39703,38527,37287,36003,34687,33322,32103,30953,29630,28389,27293,26230,25159,24123,23151,22412,21616,20781,19922,19040,18653,18262,17861,17465,17041
乡村就业人员(万人),27420,27879,28793,30198,31490,32850,34194,35404,36646,37774,38967,40193,41418,42506,43461,44368,45348,46258,46971,47506,48121,48674,48934,48982,49021,49039,49028,49025,48802,48546,48291,48026,47708
私营企业乡村就业人员(万人),,,,8267,7424,6554,5914,5215,4533,4279,3739,3442,3347,3063,2780,2672,2632,2366,2024,1754,1411,1187,1139,969,737,600,551,471,316,187,134,116,113
个体乡村就业人员(万人),,,,6000,5597,4878,4235,3882,3575,3193,2986,2718,2540,2341,2167,2187,2147,2123,2066,2260,2474,2629,2934,3827,3855,3522,3308,3054,2551,2010,1728,1616,1491
