指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年
农民工规模(万人),29562,29251,28560,29077,28836,28652,28171,27747,27395,26894
本地农民工规模(万人),12372,12079,11601,11652,11570,11467,11237,10863,10574,10284
外出农民工规模(万人),17190,17172,16959,17425,17266,17185,16934,16884,16821,16610
跨省流动农民工规模(万人),7061,7130,7052,7508,7594,7675,7666,7745,7867,7739
农民工月均收入(元),4615,4432,4072,3962,3721,3485,3275,3072,2864,2609
